PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
050425,01-JAN-23,31-DEC-23,As Submitted,KFH - SACRAMENTO                        ,2025 MORSE AVENUE                       ,,SACRAMENTO                              ,CA                                      ,95825-                                  ,SACRAMENTO                              ,670687,,,406457,,,.1242,831568,269565,283,103295,3722,8431,61854,37.98,1228.84,,713,207,13283,975,,,,,,
050426,01-JAN-23,31-DEC-23,As Submitted,WEST ANAHEIM MEDICAL CENTER             ,3033 ORANGE AVENUE                      ,,ANAHEIM                                 ,CA                                      ,92804                                   ,ORANGE                                  ,1480669,,,2216980,,,.3306,1216568,82224,167,60955,8870,1303,27011,18.34,502.41,,1753,364,5843,1575,,,18,,361,
050455,01-JAN-23,31-DEC-23,As Submitted,ADVENTIST HEALTH BAKERSFIELD            ,2615 CHESTER AVENUE                     ,P.O. BOX 2615                           ,BAKERSFIELD                             ,CA                                      ,93303-2615                              ,KERN                                    ,,,,2851341,,,.2887,,,254,92710,13160,4498,66012,,1549.52,,2696,918,16556,5276,,,,,,
050468,01-JAN-23,31-DEC-23,As Submitted,MEMORIAL HOSPITAL OF GARDENA            ,1145 W REDONDO BEACH BLVD               ,,GARDENA                                 ,CA                                      ,90247-                                  ,LOS ANGELES                             ,,,,1830482,,,.4583,,,103,37595,5981,1647,25615,,494.41,,1158,373,5628,2612,,,,,,
050471,01-OCT-22,30-SEP-23,As Submitted,PIH HEALTH GOOD SAMARITAN HOSPITAL      ,1225 WILSHIRE BOULEVARD                 ,,LOS ANGELES                             ,CA                                      ,90017                                   ,,614422,,,5346684,,,.4792,551235,154247,308,112420,10639,8574,48920,8.81,1201,,2569,2019,10871,2348,,,,,,564
050488,01-JAN-23,31-DEC-23,As Submitted,EDEN MEDICAL CENTER                     ,20103 LAKE CHABOT RD                    ,,CASTRO VALLEY                           ,CA                                      ,94546-                                  ,ALAMEDA                                 ,,,,2227812,,,.1937,,,126,45990,14069,2460,43712,,795.53,,2554,308,8583,1677,,,,,,
050496,01-JAN-23,31-DEC-23,As Submitted,JOHN MUIR MEDICAL CENTER - CONCORD      ,2540 EAST STREET                        ,4110                                    ,CONCORD                                 ,CA                                      ,94520                                   ,,4532846,,,3570961,,,.1617,1356985,514264,244,89060,21928,,58403,21.72,1337.77,,4263,,11522,,,,,,,
050498,01-JAN-23,31-DEC-23,As Submitted,SUTTER AUBURN FAITH HOSPITAL            ,11815 EDUCATION STREET                  ,,AUBURN                                  ,CA                                      ,95602-2410                              ,,,,,324738,,,.0741,,,64,23360,5130,411,12553,,394.06,,1302,85,3385,443,,,,,,
050503,01-OCT-22,30-SEP-23,As Submitted,SCRIPPS MEMORIAL HOSPITAL-ENCINITAS     ,354 SANTA FE DRIVE                      ,,ENCINITAS                               ,CA                                      ,92023                                   ,SAN DIEGO                               ,464486,,,962734,,,.073,153774,41465,177,64605,18623,2001,60601,3,1361.4,,4153,423,13687,1457,,,,,,
050510,01-JAN-23,31-DEC-23,As Submitted,KFH - SAN RAFAEL                        ,99 MONTICELLO ROAD                      ,,SAN RAFAEL                              ,CA                                      ,94063-                                  ,MARIN                                   ,23021,,,,,,,137183,34665,116,42340,755,31,19129,1.98,489.04,,143,9,4359,22,,,,,,
050512,01-JAN-23,31-DEC-23,As Submitted,KFH - FREMONT                           ,39400 PASEO PADRE PKWY                  ,36084                                   ,FREMONT                                 ,CA                                      ,94545                                   ,ALAMEDA                                 ,23559,,,,,,,101448,28799,100,36500,880,101,22836,4.21,561.4,,137,15,4582,60,,,,,,
050515,01-JAN-23,31-DEC-23,As Submitted,KFH - SAN DIEGO                         ,4647 ZION AVENUE                        ,,SAN DIEGO                               ,CA                                      ,92120                                   ,SAN DIEGO                               ,182841,,,122458,,,.0446,622368,125569,596,217540,3863,7059,110065,59.27,2379.47,,803,137,24446,123,,,,,,
050517,01-JAN-23,31-DEC-23,As Submitted,VICTOR VALLEY GLOBAL MEDICAL CENTER     ,15248 ELEVENTH STREET                   ,,VICTOR VALLEY                           ,CA                                      ,92392-                                  ,SAN BERNARDINO                          ,,,,984223,,,.4775,,,101,36865,2674,1864,17282,,409.55,,638,249,4854,3076,,,,,,
050523,01-JAN-23,31-DEC-23,As Submitted,SUTTER DELTA MEDICAL CENTER             ,3901 LONE TREE WAY                      ,,ANTIOCH                                 ,CA                                      ,94509-6200                              ,CONTRA COSTA                            ,,,,1548720,,,.2429,,,119,43435,7467,1163,22947,,539.61,,1596,269,5414,1413,,,,,,
050526,01-JAN-23,31-DEC-23,As Submitted,HUNTINGTON BEACH HOSPITAL               ,17772 BEACH BLVD                        ,,HUNTINGTON BEACH                        ,CA                                      ,92647                                   ,ORANGE                                  ,,,,246374,,,.12,,,82,29930,3357,578,9874,,230.57,,662,150,2326,643,,,74,,742,
050528,01-JAN-23,31-DEC-23,As Submitted,MEMORIAL HOSPITAL - LOS BANOS           ,520 WEST I STREET                       ,,LOS BANOS                               ,CA                                      ,93635-                                  ,MERCED                                  ,,,,123096,,,.12,,,26,9490,1344,175,5621,,218.33,,386,105,1808,810,,,,,,
050537,01-JAN-23,31-DEC-23,As Submitted,SUTTER DAVIS HOSPITAL                   ,2000 SUTTER PLACE                       ,,DAVIS                                   ,CA                                      ,95616-                                  ,YOLO                                    ,202761,,,372040,,,.12,40502,38528,57,19455,3759,464,13918,3.69,411.71,,957,193,4032,988,,,,,,
050541,01-JAN-23,31-DEC-23,As Submitted,KFH - REDWOOD CITY                      ,1100 VETERANS BOULEVARD                 ,,REDWOOD CITY                            ,CA                                      ,94063                                   ,SAN MATEO                               ,,,,,,,,99834,12917,144,52560,1628,208,29008,5.99,710.41,,369,51,7760,148,,,,,,
050549,01-JAN-23,31-DEC-23,As Submitted,LOS ROBLES HOSPITAL AND MEDICAL CTN.    ,215 WEST JANSS ROAD                     ,1899                                    ,THOUSAND OAKS                           ,CA                                      ,91360                                   ,VENTURA                                 ,10721557,,,1091650,,,.0435,4225073,991305,306,112962,33249,1702,74159,64.88,1234.48,,6421,310,15501,,,,,6,,953
050557,01-JAN-23,31-DEC-23,As Submitted,MEMORIAL HOSPITAL MODESTO               ,1700 COFFEE ROAD                        ,,MODESTO                                 ,CA                                      ,95355-2803                              ,STANISLAUS                              ,,,,3597283,,,.1659,,,403,147095,29912,3133,99413,,2028.82,,5474,595,19813,,,,,,,
050561,01-JAN-23,31-DEC-23,As Submitted,KFH - WEST LOS ANGELES                  ,6041 CADILLAC  AVENUE                   ,,LOS ANGELES                             ,CA                                      ,90034-                                  ,LOS ANGELES                             ,15678,,,227345,,,.1221,46907,11676,265,96725,2489,5398,45661,11.01,877.68,,462,118,10001,536,,,,,,
050570,01-JAN-23,31-DEC-23,As Submitted,FOUNTAIN VALLEY REG MEDICAL CENTER      ,17100 EUCLID AT WARNER                  ,,FOUNTAIN VALLEY                         ,CA                                      ,92708                                   ,ORANGE                                  ,147152,,,4511672,,,.4664,155901,12137,400,146000,18956,5161,79369,2.82,1004.9,,2674,673,14066,5739,,,,,,
050580,01-JAN-23,31-DEC-23,As Submitted,LA PALMA INTERCOMMUNITY HOSPITAL        ,7901 WALKER STREET                      ,,LA PALMA                                ,CA                                      ,90623                                   ,ORANGE                                  ,,,,874819,,,.309,,,115,41975,3893,502,10789,,230.37,,908,175,2682,630,,,46,,443,
050586,01-JAN-23,31-DEC-23,As Submitted,CHINO VALLEY MEDICAL CENTER             ,5451 WALNUT AVENUE                      ,,CHINO                                   ,CA                                      ,91710                                   ,RIVERSIDE                               ,747877,,,722970,,,.3092,899759,88865,112,40880,2914,1770,14358,20.68,340.81,,705,399,4025,1156,,,,,,
050588,01-JAN-23,31-DEC-23,As Submitted,SAN DIMAS COMMUNITY HOSPITAL            ,1350 WEST COVINA BLVD                   ,,SAN DIMAS                               ,CA                                      ,91773                                   ,LOS ANGELES                             ,,,,428550,,,.1632,,,101,36865,3639,395,14198,,235.22,,746,103,3135,522,,,,,,
050590,01-JAN-23,31-DEC-23,As Submitted,METHODIST HOSPITAL OF SACRAMENTO        ,7500 HOSPITAL DRIVE                     ,,SACRAMENTO                              ,CA                                      ,95823                                   ,SACRAMENTO                              ,1190455,,,2267247,,,.4003,569026,166923,152,55480,7465,2060,36512,15.43,931.43,,1594,721,9100,3389,,,,,,
050597,01-JAN-23,31-DEC-23,As Submitted,EMANATE HEALTH FOOTHILL PRESB. HOSP.    ,250 SOUTH GRAND AVENUE                  ,,GLENDORA                                ,CA                                      ,91740                                   ,LOS ANGELES                             ,22048,,,777821,,,.208,20808,6289,105,38325,5878,1057,25280,.31,487.1,,1202,185,4878,1082,,,,,,
050604,01-JAN-23,31-DEC-23,As Submitted,KFH- SAN JOSE                           ,250 HOSPITAL PARKWAY                    ,,SAN JOSE                                ,CA                                      ,95119                                   ,SANTA CLARA                             ,486099,,,,,,,2459020,420911,221,83940,2653,431,50432,32.27,1024.05,,392,116,11807,256,,,,,,
050608,01-JAN-23,31-DEC-23,As Submitted,DELANO REGIONAL MED. CTR.               ,1401 GARCES HIGHWAY                     ,,DELANO                                  ,CA                                      ,93215                                   ,KERN                                    ,,,,648226,,,.5459,,,105,38325,1592,879,6751,,441.85,,370,224,2029,888,,,,,,
050609,01-JAN-23,31-DEC-23,As Submitted,KFH - OC-ANAHEIM                        ,3440 E. LA PALMA AVENUE                 ,,ANAHEIM                                 ,CA                                      ,92806-2020                              ,ORANGE                                  ,220993,,,79739,,,.0465,1010150,142409,526,191990,2220,7043,115448,30.76,2025.69,2025.96,475,101,25812,218,,,,,,
050624,01-OCT-22,30-SEP-23,As Submitted,HENRY MAYO NEWHALL MEMORIAL HOSPITAL    ,23845 MCBEAN PARKWAY                    ,,VALENCIA                                ,CA                                      ,91355-                                  ,LOS ANGELES                             ,,,,639254,,,.0831,,,315,114975,13462,2014,52517,,1352.38,,2409,550,10740,1188,,,405,,806,350
050641,01-JAN-23,31-DEC-23,As Submitted,EAST LOS ANGELES DOCTORS HOSPITAL       ,4060 EAST WHITTIER BOULEVARD            ,,LOS ANGELES                             ,CA                                      ,90023                                   ,LOS ANGELES                             ,,,,474098,,,.6223,,,102,37230,1019,2180,9358,,310.42,,233,544,2974,1005,,,,,,
050660,01-OCT-22,30-SEP-23,As Submitted,USC NORRIS CANCER HOSPITAL              ,1441 EASTLAKE AVE                       ,,LOS ANGELES                             ,CA                                      ,90033-                                  ,LOS ANGELES                             ,,,,,,,,,367937,60,21900,3659,1269,14527,14.02,752.21,,451,116,1491,233,,,,,,
050663,01-JAN-23,31-DEC-23,As Submitted,LOS ANGELES COMMUNITY HOSPITAL          ,4081 OLYMPIC BLVD                       ,,LOS ANGELES                             ,CA                                      ,90023                                   ,LOS ANGELES                             ,,,,4665401,,,.5107,,,173,63145,14878,1036,51201,,562.24,,2979,1283,10428,4672,,,,,,
050674,01-JAN-23,31-DEC-23,As Submitted,KFH - SOUTH SACRAMENTO                  ,6600 BRUCEVILLE ROAD                    ,,SACRAMENTO                              ,CA                                      ,95823                                   ,SACRAMENTO                              ,461055,,,542295,,,.1546,434696,145127,233,85045,4039,10788,69595,24.21,1450.31,,809,341,15528,922,,,,,,
050677,01-JAN-23,31-DEC-23,As Submitted,KFH - WOODLAND HILLS                    ,5601 DE SOTO AVE                        ,,WOODLAND HILLS                          ,CA                                      ,91367-                                  ,LOS ANGELES                             ,104419,,,,,,,948747,292882,274,100010,962,247,41377,17.01,949.18,949.18,219,38,9868,119,,,,,,
050684,01-JAN-23,31-DEC-23,As Submitted,MENIFEE VALLEY MEDICAL CENTER           ,28400 MC CALL BLVD                      ,,SUN CITY                                ,CA                                      ,92381                                   ,RIVERSIDE                               ,,,,109360,,,.12,,,84,30660,1299,7502,13136,,263.33,,332,1480,3118,471,,,,,,
050686,01-JAN-23,31-DEC-23,As Submitted,KFH - RIVERSIDE                         ,10800 MAGNOLIA AVE                      ,,RIVERSIDE                               ,CA                                      ,92505-                                  ,RIVERSIDE                               ,289689,,,79949,,,.0713,746634,146353,225,82125,1811,4658,47349,31.82,1227.24,,277,80,10042,99,,,,,,
050690,01-JAN-23,31-DEC-23,As Submitted,KFH - SANTA ROSA                        ,401 BICENTENNIAL WAY                    ,,SANTA ROSA                              ,CA                                      ,95403-                                  ,SONOMA                                  ,153306,,,19026,,,.0264,1336506,356425,172,62780,974,2590,42798,18.33,884.04,,200,49,10111,159,,,,,,
050696,01-OCT-22,30-SEP-23,As Submitted,KECK HOSPITAL OF USC                    ,1500 SAN PABLO STREET                   ,,LOS ANGELES                             ,CA                                      ,90033-                                  ,LOS ANGELES                             ,25212637,,,5260668,,,.2046,5102614,2757901,314,114610,24524,4139,82379,181.84,3482.32,,4038,2247,11426,,,,,,,372
050701,01-JAN-23,31-DEC-23,As Submitted,SOUTHWEST HEALTHCARE SYSTEM             ,36485 INLAND VALLEY DRIVE               ,,WILDOMAR                                ,CA                                      ,92595-                                  ,RIVERSIDE                               ,2213636,,,1396879,,,.2136,1725243,423931,240,87600,10310,2715,73361,36.38,1399.33,,2024,605,16702,5020,,,,,,
050704,01-JAN-23,31-DEC-23,As Submitted,MISSION COMMUNITY HOSPITAL              ,14850 ROSCOE BOULEVARD                  ,,PANORAMA CITY                           ,CA                                      ,91402                                   ,LOS ANGELES                             ,1394145,,,2989495,,,.5734,613494,133573,145,52925,8711,15317,40614,18.09,708.71,,1409,1880,5986,1014,,,,,,
050708,01-JAN-23,31-DEC-23,As Submitted,FRESNO SURGICAL HOSPITAL                ,6125 NORTH FRESNO STREET                ,,FRESNO                                  ,CA                                      ,96710                                   ,,,,,,,,,,,27,9855,857,,1790,,295.11,,485,,998,,,,,,,
050709,01-JAN-23,31-DEC-23,As Submitted,DESERT VALLEY HOSPITAL  INC.            ,16850 BEAR VALLEY ROAD                  ,,VICTORVILLE                             ,CA                                      ,92395                                   ,SAN BERNARDINO                          ,396834,,,1789757,,,.2933,160186,34023,138,50370,8920,4837,43017,4.14,734.1,,1775,619,9951,2984,,,,,,
050710,01-JAN-23,31-DEC-23,As Submitted,KFH - FRESNO                            ,7300 NORTH FRESNO                       ,,FRESNO                                  ,CA                                      ,93720-                                  ,FRESNO                                  ,6335,,,,,,,57120,12792,169,61685,1177,183,32744,1.98,862.39,,252,67,8453,151,,,,,,
050714,01-JAN-23,31-DEC-23,As Submitted,SUTTER MATERNITY & SURGERY CENTER       ,2900 CHANTICLEER AVENUE                 ,,SANTA CRUZ                              ,CA                                      ,95065-                                  ,SANTA CRUZ                              ,,,,42705,,,.1043,,,28,10220,142,40,2916,,175.97,,60,7,826,172,,,,,,
050723,01-JAN-23,31-DEC-23,As Submitted,KFH - BALDWIN PARK                      ,1011 BALDWIN PARK BLVD                  ,,BALDWIN PARK                            ,CA                                      ,91706-                                  ,LOS ANGELES                             ,,,,100398,,,.0744,,,271,98915,1771,4317,48571,3.9,1120.78,1120.78,390,95,11378,319,,,,,,
050726,01-JAN-23,31-DEC-23,As Submitted,STANISLAUS SURGICAL                     ,1421 OAKDALE ROAD                       ,,MODESTO                                 ,CA                                      ,95355                                   ,STANISLAUS                              ,,,,,,,,,,23,8395,116,,586,,169.37,,72,,394,,,,,,,
050739,01-JAN-23,31-DEC-23,As Submitted,CENTINELA HOSPITAL MEDICAL CENTER       ,555 EAST HARDY STREET                   ,,INGLEWOOD                               ,CA                                      ,90301                                   ,LOS ANGELES                             ,2023215,,,4679657,,,.4367,1048421,80788,257,93544,13197,6319,54973,24.21,672.92,,2890,1387,12079,4288,,,,17,,259
050744,01-JAN-23,31-DEC-23,As Submitted,ANAHEIM GLOBAL MEDICAL CENTER           ,1025 SOUTH ANAHEIM BOULEVARD            ,,ANAHEIM                                 ,CA                                      ,92805-5806                              ,,,,,238119,,,.4798,,,103,37595,804,4641,13402,,277.83,,160,156,1500,610,1804,,1189,,1804,
050745,01-JAN-23,31-DEC-23,As Submitted,CHAPMAN GLOBAL MEDICAL CENTER           ,2601 E CHAPMAN AVENUE                   ,,ORANGE                                  ,CA                                      ,92869-3206                              ,ORANGE                                  ,,,,143473,,,.12,,,75,27375,1816,478,5754,,161.76,,401,81,1767,410,,,,,235,
050746,01-JAN-23,31-DEC-23,As Submitted,ORANGE COUNTY GLOBAL MEDICAL CENTER     ,1001 N TUSTIN AVENUE                    ,,SANTA ANA                               ,CA                                      ,92705-3502                              ,ORANGE                                  ,,,,2125215,,,.4337,,,254,92710,7208,6845,43288,,843.11,,1238,1325,10243,4482,1,,79,,413,
050747,01-JAN-23,31-DEC-23,As Submitted,SOUTH COAST GLOBAL MEDICAL CENTER       ,2710 SOUTH BRISTOL STREET               ,,SANTA ANA                               ,CA                                      ,82701                                   ,,,,,318620,,,.4424,,,109,39785,1305,437,7205,,219.41,,246,294,2028,,,,1,,202,
050748,01-JAN-23,31-DEC-23,As Submitted,KFH - MANTECA                           ,1777 WEST YOSEMITE AVENUE               ,,MANTECA                                 ,CA                                      ,95337-                                  ,SAN JOAQUIN                             ,117493,29033,,,,,,583342,127174,237,78057,1320,662,57187,14.43,1304.36,,298,127,14196,244,,,,,,
050755,01-JAN-23,31-DEC-23,As Submitted,SHERMAN OAKS HOSPITAL-HLTH              ,4929 VAN NUYS BLVD                      ,,SHERMAN OAKS                            ,CA                                      ,91403                                   ,LOS ANGELES                             ,,,,2471299,,,.3823,,,112,40880,8576,1675,19303,,375.44,,1857,257,4009,832,,,,,381,
050758,01-JAN-23,31-DEC-23,As Submitted,MONTCLAIR HOSPITAL MEDICAL CENTER       ,5000 SAN BERNARDINO                     ,,MONTCLAIR                               ,CA                                      ,91763                                   ,SAN BERNARDINO                          ,50966,,,826711,,,.4634,85445,10615,106,38690,2067,1310,10136,1.61,222.05,,518,354,2774,1159,,,,,,
050760,01-JAN-23,31-DEC-23,As Submitted,KFH - ANTIOCH                           ,4501 SAND CREEK ROAD                    ,,ANTIOCH                                 ,CA                                      ,94531                                   ,CONTRA COSTA                            ,53845,,,100274,,,.0596,117500,31098,144,51592,1947,2993,36916,2.92,813.24,,415,107,9148,365,,,,,,
050761,01-JAN-23,31-DEC-23,As Submitted,PROVIDENCE CEDARS-SINAI TARZANA MEDI    ,18321 CLARK STREET                      ,,TARZANA                                 ,CA                                      ,91356                                   ,LOS ANGELES                             ,,,,3307535,,,.2578,,,204,74460,16072,,50976,,1051.48,,3649,,14213,2569,,,,,,
050763,01-JAN-23,31-DEC-23,As Submitted,L A DOWNTOWN MEDICAL CENTER             ,1711 WEST TEMPLE STREET                 ,,LOS ANGELES                             ,CA                                      ,92006-5421                              ,LOS ANGELES                             ,116164,,,2764989,,,.3419,149072,6357,315,114975,27266,,56858,2.63,361.04,,3119,,6474,,,,,,,
050764,01-JAN-23,31-DEC-23,As Submitted,SHASTA REGIONAL MEDICAL CENTER          ,1100 BUTTE STREET                       ,,REDDING                                 ,CA                                      ,96049                                   ,SHASTA                                  ,751020,,,1575223,,,.135,247566,93133,130,47450,10377,656,20464,6.07,492.28,,2867,113,5557,995,,,231,,385,
050765,01-JAN-23,31-DEC-23,As Submitted,KFH - MORENO VALLEY                     ,27300 IRIS AVENUE                       ,,MORENO VALLEY                           ,CA                                      ,92360-                                  ,RIVERSIDE                               ,415,,,42226,,,.0911,,,100,35144,667,1234,17759,2.29,436.19,,145,30,4994,77,,,,,,
050766,01-JAN-23,31-DEC-23,As Submitted,SUTTER SURGICAL HOSP - NORTH VALLEY     ,455 PLUMAS BLVD                         ,,YUBA CITY                               ,CA                                      ,95991-5074                              ,SUTTER                                  ,,,,,,,,,,14,5110,387,,821,,55.02,,130,,323,,,,,,,
050767,01-JAN-23,31-DEC-23,As Submitted,KFH - VACAVILLE                         ,1 QUALITY DRIVE                         ,,VACAVILLE                               ,CA                                      ,95688-9494                              ,SOLANO                                  ,53896,,,68764,,,.0491,81831,19632,144,52560,1761,2080,29713,2.24,792.08,,275,40,6132,138,,,,,,
050769,01-JAN-23,31-DEC-23,As Submitted,HOAG ORTHOPEDIC INSTITUTE               ,16250 SAND CANYON AVENUE                ,,IRVINE                                  ,CA                                      ,92618                                   ,,,,,,,,,,,70,25550,2261,9,4400,,258.9,,966,1,1882,9,,,,,,
050771,01-JAN-23,31-DEC-23,As Submitted,COAST PLAZA HOSPITAL                    ,13100 STUDEBAKER                        ,,NORWALK                                 ,CA                                      ,90650-                                  ,LOS ANGELES                             ,,,,782986,,,.3296,,,117,42705,3559,564,12386,,237.37,,678,123,2498,681,,,,,,
050772,01-JAN-23,31-DEC-23,As Submitted,KFH - ROSEVILLE                         ,1600 EUREKA ROAD                        ,,ROSEVILLE                               ,CA                                      ,95661-3027                              ,PLACER                                  ,95556,,,175321,,,.0727,233409,60219,402,139680,3102,13391,110341,9.09,2037.61,,640,417,23933,1108,,,,,,
050775,01-JAN-23,31-DEC-23,As Submitted,TEMECULA VALLEY HOSPITAL                ,31700 TEMECULA VALLEY HOSPITAL          ,,TEMECULA                                ,CA                                      ,92592                                   ,RIVERSIDE                               ,9404251,,,800230,,,.1107,5124239,1747090,140,51100,10786,1723,44319,92.03,931.64,,2076,282,9318,1371,,,,,,
050776,01-JAN-23,31-DEC-23,As Submitted,COLLEGE MEDICAL CENTER                  ,2776 PACIFIC AVE                        ,,LONG BEACH                              ,CA                                      ,90801                                   ,LOS ANGELES                             ,83710,,,1615712,,,.7387,182460,58093,221,80665,5182,45893,60623,13.9,776.47,,801,5867,8092,829,,,,,,
050777,01-JAN-23,31-DEC-23,As Submitted,KFH - SAN LEANDRO                       ,2500 MERCED STREET                      ,,SAN LEANDRO                             ,CA                                      ,54577                                   ,ALAMEDA                                 ,36734,,,70704,,,.0628,118657,36388,216,78840,1223,6046,48452,3.69,1109.29,,294,78,11446,252,,,,,,
050780,01-JAN-23,31-DEC-23,As Submitted,FOOTHILL REG MEDICAL CENTER             ,14662 NEWPORT AVE.                      ,,TUSTIN                                  ,CA                                      ,92780                                   ,ORANGE                                  ,,,,1193795,,,.3127,,,111,40515,5263,396,15098,,269,,1179,135,4609,1695,,,,,,
050783,01-JAN-23,31-DEC-23,As Submitted,COLUSA MEDICAL CENTER                   ,199 E WEBSTER ST                        ,,COLUSA                                  ,CA                                      ,95932                                   ,COLUSA                                  ,,,,80665,,,.12,,,42,15330,1364,547,4677,,106.32,,289,162,724,,,,,,,
050784,01-JAN-23,31-DEC-23,As Submitted,ADVENTIST HEALTH TULARE                 ,869 CHERRY STREET                       ,,TULARE                                  ,CA                                      ,93274                                   ,TULARE                                  ,309864,,,150659,,,.12,243554,140661,73,26645,1918,403,7580,8.47,286.8,,416,103,1876,665,,,,,,
050785,01-JAN-23,31-DEC-23,As Submitted,DOCS SURGICAL HOSPITAL                  ,6000 SAN VICENTE BLVD                   ,,LOS ANGELES                             ,CA                                      ,90036-4404                              ,LOS ANGELES                             ,,,,,,,,,,17,6205,228,,574,,24.8,,162,,540,,,,,,,
050854,03-FEB-23,31-DEC-23,As Submitted,ANAHEIM COMMUNITY HOSPITAL              ,3352 W BALL RD                          ,,ANAHEIM                                 ,CA                                      ,92804                                   ,ORANGE                                  ,,,,20691,,,.12,,,98,32536,931,7782,17886,,147.75,,70,826,1333,,,,,,,
051301,01-JAN-23,31-DEC-23,As Submitted,ADVENTIST HEALTH TEHACHAPI VALLEY       ,115 W. E ST.                            ,1900                                    ,TEHACHAPI                               ,CA                                      ,93561-1900                              ,KERN                                    ,,,,,,,,,,25,9125,1007,214,3225,,170.22,,268,55,839,184,,,,,,
051306,01-JAN-23,31-DEC-23,As Submitted,GLENN MEDICAL CENTER                    ,1133 WEST SYCAMORE STREET               ,,WILLOWS                                 ,CA                                      ,95988-                                  ,GLENN                                   ,,,,,,,,,,25,9125,5295,115,6766,,98.07,,93,191,284,,,,,,,
051310,01-JAN-23,31-DEC-23,As Submitted,HOWARD MEMORIAL HOSPITA                 ,ONE MARCELLA DRIVE                      ,,WILLITS                                 ,CA                                      ,95490                                   ,MENDOCINO                               ,,,,,,,,,,25,9125,2998,202,6100,,229.14,,659,51,1377,,,,,,,
051315,01-JAN-23,31-DEC-23,As Submitted,TRINITY HOSPITAL                        ,60 EASTER AVENUE                        ,1229                                    ,WEAVERVILLE                             ,CA                                      ,96093-                                  ,TRINITY                                 ,,,,,,,,,,25,9125,1615,5,2204,,161.11,,74,7,116,,,,,,,
051317,01-JAN-23,31-DEC-23,As Submitted,ADVENTIST HEALTH CLEARLAKE              ,18TH AVENUE & HI-WAY 53                 ,6720                                    ,CLEARLAKE                               ,CA                                      ,95422                                   ,LAKE                                    ,,,,,,,,,,25,9125,2378,109,5615,,417.23,,487,30,1330,,,,,,,
051320,01-JAN-23,31-DEC-23,As Submitted,BANNER LASSEN MEDICAL CENTER            ,1800 SPRING RIDGE DRVIE                 ,,SUSANVILLE                              ,CA                                      ,96130                                   ,LASSEN                                  ,,,,,,,,,,25,9125,1520,692,2958,,152.47,,331,208,798,,,,,,,
051323,01-JAN-23,31-DEC-23,As Submitted,COLORADO RIVER MEDICAL CENTER           ,1401 BAILEY AVE.                        ,,NEEDLES                                 ,CA                                      ,92363                                   ,SAN BERNARDINO                          ,,,,,,,,,,25,9125,179,36,657,,72.01,,80,16,280,113,,,,,,
051325,01-JAN-23,31-DEC-23,As Submitted,ADVENTIST HEALTH MENDOCINO COAST        ,700 RIVER RAOD                          ,,FT BRAGG                                ,CA                                      ,95437                                   ,MENDOCINO                               ,,,,,,,,,,25,9125,2776,48,4986,,230.41,,435,15,722,,,,,,,
051329,01-JAN-23,31-DEC-23,As Submitted,SUTTER LAKESIDE HOSPITAL                ,5176 HILL ROAD EAST                     ,,LAKEPORT                                ,CA                                      ,95453-                                  ,LAKE                                    ,,,,,,,,,,25,9125,3043,151,7140,,227.57,,594,26,1509,,,,,,,
051331,01-JAN-23,31-DEC-23,As Submitted,SANTA YNEZ VALLEY COTTAGE HOSPITAL      ,2050 VIBORG ROAD                        ,,SOLVANG                                 ,CA                                      ,93463-                                  ,SANTA BARBARA                           ,,,,,,,,,,11,4015,348,12,526,,96.39,,127,3,197,8,,,,,,
051332,01-JAN-23,31-DEC-23,As Submitted,MARK TWAIN MEDICAL CENTER               ,768 MOUNTAIN RANCH ROAD                 ,,SAN ANDREAS                             ,CA                                      ,95249                                   ,CALAVERAS                               ,,,,,,,,,,25,9125,1474,56,2664,,218.89,,355,21,537,,,,,,,
051333,01-JAN-23,31-DEC-23,As Submitted,RIDGECREST REGIONAL HOSPITAL            ,1081 N. CHINA LAKE RD.                  ,,RIDGECREST                              ,CA                                      ,93555-                                  ,KERN                                    ,,,,,,,,,,25,9125,2758,,5305,,478.1,,537,,1475,,,,,,,
